Location,Player1,Player2,Series,Court,Surface,ActualRankingP1,ActualRankingP2,AvgP1,AvgP2,HeightP1,HandednessP1,NewNameP1,IdP1,PhotoP1,HeightP2,HandednessP2,NewNameP2,IdP2,PhotoP2,P1Winner,PredictP1
Madrid,Thiem D.,Isner J.,Masters 1000,Outdoor,Clay,4,38,1.25,4.02,185.0,Right-Handed,Thiem D.,1715,https://www.atptour.com/-/media/tennis/players/gladiator/2020/thiem_full_ao20.png?sc=0&hash=97E883A24A458D68FB735F4F8A19753B,208.0,Right-Handed,Isner J.,777,https://www.atptour.com/-/media/tennis/players/gladiator/2020/isner_full_ao20.png?sc=0&hash=3A4BA7D421796FFEA280CAECFEF14A94,1.0,0.5754613
Madrid,Nadal R.,Zverev A.,Masters 1000,Outdoor,Clay,3,6,1.22,4.37,185.0,Left-Handed,Nadal R.,1226,https://www.atptour.com/-/media/tennis/players/gladiator/2020/nadal_full_ao20.png?sc=0&hash=71650B21564B3C6A0E2B8CD3828FCBD0,198.0,Right-Handed,Zverev A.,1958,https://www.atptour.com/-/media/tennis/players/gladiator/2020/zverev_full_ao20.png?sc=0&hash=034C8A752DA6C249AD477A8B96BD84F0,0.0,0.7078239
Madrid,Bublik A.,Ruud C.,Masters 1000,Outdoor,Clay,42,24,3.59,1.29,196.0,Right-Handed,Bublik A.,266,https://www.atptour.com/-/media/tennis/players/gladiator/2020/bublik_full_ao20.png?sc=0&hash=E67F6C5D3CA3535F9B2E8EB26A312451,183.0,Right-Handed,Ruud C.,1489,https://www.atptour.com/-/media/tennis/players/gladiator/2020/ruud_full_ao20.png?sc=0&hash=018035A9D61A8592D080BDFBDE691D1B,,0.4899907
Madrid,Berrettini M.,Garin C.,Masters 1000,Outdoor,Clay,10,22,1.52,2.55,196.0,Right-Handed,Berrettini M.,163,https://www.atptour.com/-/media/tennis/players/gladiator/2020/berrettini_full_ao20.png?sc=0&hash=294B28E5799CFF3580280DB00F21003C,185.0,Right-Handed,Garin C.,591,https://www.atptour.com/-/media/tennis/players/gladiator/2020/garin_full_ao20.png?sc=0&hash=A9C2F6F65747E17A5DBE2B342DEC55D9,,0.5540024
